datetime,PV,WF,day,hour
2019-01-12 01:00:00,0.0,536259.9776498837,12,1
2019-01-12 02:00:00,0.0,708706.4227347205,12,2
2019-01-12 03:00:00,0.0,872850.0159763803,12,3
2019-01-12 04:00:00,0.0,708736.0314930159,12,4
2019-01-12 05:00:00,0.0,556633.5934442034,12,5
2019-01-12 06:00:00,0.0,776702.9071892645,12,6
2019-01-12 07:00:00,0.08357495270971224,1512850.854163296,12,7
2019-01-12 08:00:00,3.7953695066197546,1790888.9391826894,12,8
2019-01-12 09:00:00,21.584354832378573,1799651.0462388343,12,9
2019-01-12 10:00:00,18.499116106114496,1800000.0,12,10
2019-01-12 11:00:00,3.2281664026917007,1800000.0,12,11
2019-01-12 12:00:00,3.238285804087874,1800000.0,12,12
2019-01-12 13:00:00,3.3068673987560824,1800000.0,12,13
2019-01-12 14:00:00,40.09878240976841,1800000.0,12,14
2019-01-12 15:00:00,68.93098001651951,1799963.676173084,12,15
2019-01-12 16:00:00,75.82244448175206,1710353.4439194363,12,16
2019-01-12 17:00:00,27.889580895940846,1112840.36874798,12,17
2019-01-12 18:00:00,0.0,1008021.7330822367,12,18
2019-01-12 19:00:00,0.0,1059830.9849737175,12,19
2019-01-12 20:00:00,0.0,1063765.3152660634,12,20
2019-01-12 21:00:00,0.0,914734.0589191855,12,21
2019-01-12 22:00:00,0.0,684178.84002454,12,22
2019-01-12 23:00:00,0.0,501471.74335609324,12,23
2019-01-13 00:00:00,0.0,392372.26969671727,13,0
2019-01-13 01:00:00,0.0,331207.88883878395,13,1
2019-01-13 02:00:00,0.0,331777.8698852721,13,2
2019-01-13 03:00:00,0.0,332226.61139034986,13,3
2019-01-13 04:00:00,0.0,332717.0532356586,13,4
2019-01-13 05:00:00,0.0,333413.11027596804,13,5
2019-01-13 06:00:00,0.0,428517.6983638628,13,6
2019-01-13 07:00:00,0.17090743575374837,1044916.9655071497,13,7
2019-01-13 08:00:00,3.4696323796811006,1778671.6414228026,13,8
2019-01-13 09:00:00,3.6539266983308787,1794829.685677961,13,9
2019-01-13 10:00:00,3.4422324356185854,1736758.3886467642,13,10
2019-01-13 11:00:00,3.2926088336346715,1555507.4245957448,13,11
2019-01-13 12:00:00,3.219222512871929,1482494.4342772057,13,12
2019-01-13 13:00:00,3.2663044310137157,1478666.3728306645,13,13
2019-01-13 14:00:00,41.02083672782593,1447393.1800395623,13,14
2019-01-13 15:00:00,70.13278111475783,1069446.54885789,13,15
2019-01-13 16:00:00,77.26708748835262,438627.71325039654,13,16
2019-01-13 17:00:00,30.896853322442205,174263.84570550622,13,17
2019-01-13 18:00:00,0.0,379626.57376741973,13,18
2019-01-13 19:00:00,0.0,573955.4023141206,13,19
2019-01-13 20:00:00,0.0,769488.3697294864,13,20
2019-01-13 21:00:00,0.0,917900.212752746,13,21
2019-01-13 22:00:00,0.0,841863.401180858,13,22
2019-01-13 23:00:00,0.0,817471.8519280183,13,23
2019-01-14 00:00:00,0.0,818721.9007893646,14,0
2019-01-14 01:00:00,0.0,906385.9780926963,14,1
2019-01-14 02:00:00,0.0,855596.2041346905,14,2
2019-01-14 03:00:00,0.0,728925.8675057426,14,3
2019-01-14 04:00:00,0.0,644165.2824922503,14,4
2019-01-14 05:00:00,0.0,629056.4678448094,14,5
2019-01-14 06:00:00,0.0,738533.9693122966,14,6
2019-01-14 07:00:00,0.9581427488205269,1197854.8855384015,14,7
2019-01-14 08:00:00,6.817550050292719,1525670.3595518018,14,8
2019-01-14 09:00:00,7.423521054145627,1337736.345142752,14,9
2019-01-14 10:00:00,7.091924532114785,1032710.175422686,14,10
2019-01-14 11:00:00,6.6763603563931655,903514.7451025068,14,11
2019-01-14 12:00:00,6.444817586704288,822225.9199483435,14,12
2019-01-14 13:00:00,6.33764173123921,742949.1731850542,14,13
2019-01-14 14:00:00,44.19350024579188,588515.6930399362,14,14
2019-01-14 15:00:00,69.48691199585367,304824.77823344205,14,15
2019-01-14 16:00:00,72.21903837347419,69245.14506880399,14,16
2019-01-14 17:00:00,25.323257274049038,0.0,14,17
2019-01-14 18:00:00,0.0,26094.86832918292,14,18
2019-01-14 19:00:00,0.0,36014.32901699343,14,19
2019-01-14 20:00:00,0.0,49895.78434839434,14,20
2019-01-14 21:00:00,0.0,77272.39005155535,14,21
2019-01-14 22:00:00,0.0,97081.37158710312,14,22
2019-01-14 23:00:00,0.0,122400.20929640153,14,23
2019-01-15 00:00:00,0.0,170792.5497890263,15,0
2019-01-15 01:00:00,0.0,225316.20630967224,15,1
2019-01-15 02:00:00,0.0,225285.7425931531,15,2
2019-01-15 03:00:00,0.0,225285.7425931531,15,3
2019-01-15 04:00:00,0.0,163866.48114312437,15,4
2019-01-15 05:00:00,0.0,83203.54715040898,15,5
2019-01-15 06:00:00,0.0,94388.46762352152,15,6
2019-01-15 07:00:00,0.0,204579.84468876393,15,7
2019-01-15 08:00:00,9.341525604193597,235088.39830120862,15,8
2019-01-15 09:00:00,12.627391404019512,109909.39468970153,15,9
2019-01-15 10:00:00,26.577333414126254,0.0,15,10
2019-01-15 11:00:00,38.74260513805268,0.0,15,11
