Year,Month,Day,Hour,Minute,DNI,Wind Speed
2019,1,20,12,30,1,5.9
2019,1,20,13,30,0,7.5
2019,1,20,14,30,0,8
2019,1,20,15,30,522,8.1
2019,1,20,16,30,334,8.1
2019,1,20,17,30,0,8.200000000000001
2019,1,20,18,30,0,8.3
2019,1,20,19,30,0,8.1
2019,1,20,20,30,0,7.9
2019,1,20,21,30,0,7.7
2019,1,20,22,30,0,7.7
2019,1,20,23,30,0,7.7
2019,1,21,0,30,0,7.800000000000001
2019,1,21,1,30,0,7.7
2019,1,21,2,30,0,7.6000000000000005
2019,1,21,3,30,0,7.5
2019,1,21,4,30,0,7.5
2019,1,21,5,30,0,7.5
2019,1,21,6,30,0,7.5
2019,1,21,7,30,12,7.6000000000000005
2019,1,21,8,30,407,7.7
2019,1,21,9,30,555,7.9
2019,1,21,10,30,418,7.9
2019,1,21,11,30,320,8
2019,1,21,12,30,435,8.1
2019,1,21,13,30,529,8.200000000000001
2019,1,21,14,30,756,8.3
2019,1,21,15,30,746,8.4
2019,1,21,16,30,145,8.4
2019,1,21,17,30,0,8.3
2019,1,21,18,30,0,8.200000000000001
2019,1,21,19,30,0,7.7
2019,1,21,20,30,0,7.4
2019,1,21,21,30,0,7.1000000000000005
2019,1,21,22,30,0,6.800000000000001
2019,1,21,23,30,0,6.5
2019,1,22,0,30,0,6
2019,1,22,1,30,0,5.7
2019,1,22,2,30,0,5.4
2019,1,22,3,30,0,5.300000000000001
2019,1,22,4,30,0,5.300000000000001
2019,1,22,5,30,0,5.1000000000000005
2019,1,22,6,30,0,4.800000000000001
2019,1,22,7,30,89,4.7
2019,1,22,8,30,718,4.6000000000000005
2019,1,22,9,30,868,4.2
2019,1,22,10,30,953,3.7
2019,1,22,11,30,966,3.2
2019,1,22,12,30,962,2.7
2019,1,22,13,30,930,2.3000000000000003
2019,1,22,14,30,864,1.9000000000000001
2019,1,22,15,30,727,1.5
2019,1,22,16,30,51,1.1
2019,1,22,17,30,0,0.9
2019,1,22,18,30,0,0.7000000000000001
2019,1,22,19,30,0,1.5
2019,1,22,20,30,0,2
2019,1,22,21,30,0,2.6
2019,1,22,22,30,0,3.1
2019,1,22,23,30,0,3.5
2019,1,23,0,30,0,3.7
2019,1,23,1,30,0,3.9000000000000004
2019,1,23,2,30,0,3.9000000000000004
2019,1,23,3,30,0,3.9000000000000004
2019,1,23,4,30,0,3.9000000000000004
2019,1,23,5,30,0,3.9000000000000004
2019,1,23,6,30,0,3.9000000000000004
2019,1,23,7,30,0,4.1000000000000005
2019,1,23,8,30,80,4.6000000000000005
2019,1,23,9,30,4,5
2019,1,23,10,30,0,5.1000000000000005
2019,1,23,11,30,0,4.9
2019,1,23,12,30,6,4.7
2019,1,23,13,30,23,4.5
2019,1,23,14,30,95,4.4
2019,1,23,15,30,20,4
2019,1,23,16,30,0,3.8000000000000003
2019,1,23,17,30,0,4
2019,1,23,18,30,0,4.1000000000000005
2019,1,23,19,30,0,4
2019,1,23,20,30,0,3.9000000000000004
2019,1,23,21,30,0,4
2019,1,23,22,30,0,4.6000000000000005
2019,1,23,23,30,0,5.300000000000001
2019,1,24,0,30,0,5.7
2019,1,24,1,30,0,5.800000000000001
2019,1,24,2,30,0,6.300000000000001
2019,1,24,3,30,0,7
2019,1,24,4,30,0,7.4
2019,1,24,5,30,0,7.5
2019,1,24,6,30,0,7.6000000000000005
2019,1,24,7,30,0,7.6000000000000005
2019,1,24,8,30,0,7.800000000000001
2019,1,24,9,30,0,8.3
2019,1,24,10,30,0,8.9
2019,1,24,11,30,0,8.8
2019,1,24,12,30,0,8.3
2019,1,24,13,30,0,7.5
2019,1,24,14,30,0,6.1000000000000005
2019,1,24,15,30,0,5.1000000000000005
2019,1,24,16,30,0,5.5
2019,1,24,17,30,0,5.800000000000001
2019,1,24,18,30,0,5.9
2019,1,24,19,30,0,5.6000000000000005
2019,1,24,20,30,0,5.300000000000001
2019,1,24,21,30,0,5.1000000000000005
2019,1,24,22,30,0,4.9
2019,1,24,23,30,0,4.6000000000000005
2019,1,25,0,30,0,4.2
2019,1,25,1,30,0,3.8000000000000003
2019,1,25,2,30,0,3.5
2019,1,25,3,30,0,3.2
2019,1,25,4,30,0,3.1
2019,1,25,5,30,0,3.2
2019,1,25,6,30,0,3.5
2019,1,25,7,30,11,3.9000000000000004
2019,1,25,8,30,108,4.3
2019,1,25,9,30,618,4.7
2019,1,25,10,30,822,5
2019,1,25,11,30,900,5.300000000000001
2019,1,25,12,30,907,5.6000000000000005
2019,1,25,13,30,757,5.800000000000001
2019,1,25,14,30,293,5.9
2019,1,25,15,30,648,5.7
2019,1,25,16,30,478,5.300000000000001
2019,1,25,17,30,0,4.9
2019,1,25,18,30,0,4.7
